RelPath,Status,Detail,Width,Height,MeanR,MeanG,MeanB,ColorDiff,BrightPct,DarkPct,LaplacianVar
2013\K1\1X\02_03-2013_09_05-09_53-K1-1X.jpeg,OK,Clean image,2288,1712,147.3,131.0,119.1,18.90,0.4%,0.0%,1441.92
2013\K1\1X\02_03-2013_09_06-10_07-K1-1X.jpeg,OK,Clean image,2288,1712,145.2,127.9,117.5,18.60,0.5%,0.0%,1967.34
2013\K1\1X\02_03-2013_09_07-09_49-K1-1X.jpeg,OK,Clean image,2288,1712,143.4,129.8,120.8,15.29,0.4%,0.0%,1663.59
2013\K1\1X\02_03-2013_09_08-10_06-K1-1X.jpeg,OK,Clean image,2288,1712,141.2,124.8,112.8,19.01,0.2%,0.0%,1449.35
2013\K1\1X\02_03-2013_09_09-09_55-K1-1X.jpeg,OK,Clean image,2288,1712,140.2,127.1,118.4,14.78,0.2%,0.0%,1455.85
2013\K1\1X\02_03-2013_09_10-09_46-K1-1X.jpeg,OK,Clean image,2288,1712,140.5,129.1,122.6,12.65,0.4%,0.0%,1609.50
2013\K1\1X\02_03-2013_09_11-09_59-K1-1X.jpeg,OK,Clean image,2288,1712,144.1,128.2,117.3,18.00,0.4%,0.0%,1737.86
2013\K1\1X\02_03-2013_09_12-09_46-K1-1X.jpeg,OK,Clean image,2288,1712,140.0,128.7,121.1,13.09,0.3%,0.0%,1466.06
2013\K1\1X\02_03-2013_09_13-09_52-K1-1X.jpeg,OK,Clean image,2288,1712,140.0,127.0,119.0,14.31,0.3%,0.0%,1496.17
2013\K1\1X\02_03-2013_09_14-10_07-K1-1X.jpeg,OK,Clean image,2288,1712,140.9,126.1,116.0,16.66,0.2%,0.0%,1456.33
2013\K1\1X\02_03-2013_09_15-09_50-K1-1X.jpeg,OK,Clean image,2288,1712,134.4,125.0,118.9,11.27,0.2%,0.0%,1205.76
2013\K1\1X\02_03-2013_09_16-10_06-K1-1X.jpeg,OK,Clean image,2288,1712,142.2,128.5,119.7,15.20,0.3%,0.0%,1427.54
2013\K1\1X\02_03-2013_09_19-11_01-K1-1X.jpeg,OK,Clean image,2288,1712,156.4,129.1,104.1,34.91,0.2%,0.0%,989.27
2013\K1\1X\02_03-2013_09_20-10_07-K1-1X.jpeg,OK,Clean image,2288,1712,143.5,130.7,123.8,13.94,0.3%,0.0%,1435.03
2013\K1\1X\02_03-2013_09_21-09_46-K1-1X.jpeg,OK,Clean image,2288,1712,135.8,128.0,124.0,10.51,0.2%,0.0%,1089.53
2013\K1\1X\02_03-2013_09_22-09_55-K1-1X.jpeg,OK,Clean image,2288,1712,139.4,130.2,123.4,11.57,0.2%,0.0%,1243.52
2013\K1\1X\02_03-2013_09_23-10_05-K1-1X.jpeg,OK,Clean image,2288,1712,140.0,127.0,118.0,14.78,0.2%,0.0%,1224.13
2013\K1\1X\02_03-2013_09_24-09_45-K1-1X.jpeg,OK,Clean image,2288,1712,138.8,130.8,127.9,9.21,0.3%,0.0%,1256.64
2013\K1\1X\02_03-2013_09_25-09_56-K1-1X.jpeg,OK,Clean image,2288,1712,139.3,130.8,125.4,10.94,0.2%,0.0%,1078.74
2013\K1\1X\02_03-2013_09_26-10_06-K1-1X.jpeg,OK,Clean image,2288,1712,139.8,129.1,122.2,12.59,0.3%,0.0%,1350.31
2013\K1\1X\02_03-2013_09_27-10_04-K1-1X.jpeg,OK,Clean image,2288,1712,141.1,130.1,123.9,12.43,0.3%,0.0%,1292.12
2013\K1\1X\02_03-2013_09_28-09_51-K1-1X.jpeg,OK,Clean image,2288,1712,133.7,128.3,125.5,9.68,0.1%,0.0%,854.99
2013\K1\1X\02_03-2013_09_29-10_00-K1-1X.jpeg,OK,Clean image,2288,1712,133.5,128.0,125.9,9.52,0.1%,0.0%,877.30
2013\K1\1X\02_03-2013_10_25-09_52-K1-1X.jpeg,OK,Clean image,2288,1712,167.0,128.0,102.6,42.94,0.1%,0.0%,1029.27
2013\K1\1X\02_03-2013_10_26-10_09-K1-1X.jpeg,OK,Clean image,2288,1712,133.4,127.5,124.9,8.70,0.1%,0.0%,832.43
2013\K1\1X\02_03-2013_10_27-09_50-K1-1X.jpeg,OK,Clean image,2288,1712,140.9,128.5,122.5,12.99,0.2%,0.0%,1275.98
2013\K1\1X\02_03-2013_10_28-09_54-K1-1X.jpeg,OK,Clean image,2288,1712,140.8,128.6,121.9,13.15,0.2%,0.0%,1307.77
2013\K1\1X\02_03-2013_10_31-09_53-K1-1X.jpeg,OK,Clean image,2288,1712,144.4,132.1,124.1,14.06,0.2%,0.0%,1056.30
2013\K1\1X\02_03-2013_11_01-09_58-K1-1X.jpeg,OK,Clean image,2288,1712,144.5,131.9,122.5,15.06,0.1%,0.0%,993.76
2013\K1\1X\02_03-2013_11_03-09_48-K1-1X.jpeg,OK,Clean image,2288,1712,143.0,132.4,124.7,12.91,0.0%,0.0%,758.87
2013\K1\1X\02_03-2013_11_04-10_03-K1-1X.jpeg,OK,Clean image,2288,1712,142.8,128.5,117.3,17.06,0.0%,0.0%,601.49
2013\K1\1X\02_03-2013_11_05-09_48-K1-1X.jpeg,OK,Clean image,2288,1712,154.2,122.4,94.9,39.55,0.0%,0.0%,754.90
2013\K1\1X\02_03-2013_11_06-10_03-K1-1X.jpeg,OK,Clean image,2288,1712,163.9,131.7,104.8,39.37,0.0%,0.0%,546.05
2013\K1\1X\02_03-2013_11_07-09_46-K1-1X.jpeg,OK,Clean image,2288,1712,166.5,131.2,104.4,41.38,0.0%,0.0%,429.03
2013\K1\1X\02_03-2013_11_08-09_58-K1-1X.jpeg,OK,Clean image,2288,1712,153.6,132.8,129.8,16.89,0.0%,0.0%,580.97
2013\K1\1X\02_03-2013_11_09-10_09-K1-1X.jpeg,OK,Clean image,2288,1712,167.7,130.7,107.8,39.95,0.0%,0.0%,414.72
2013\K1\1X\02_03-2013_11_11-09_53-K1-1X.jpeg,OK,Clean image,2288,1712,150.0,131.6,122.4,18.50,0.0%,0.0%,741.80
2013\K1\1X\02_03-2013_11_12-10_04-K1-1X.jpeg,OK,Clean image,2288,1712,136.2,126.8,121.3,10.43,0.0%,0.0%,404.61
2013\K1\1X\02_03-2013_11_13-09_46-K1-1X.jpeg,OK,Clean image,2288,1712,136.0,132.2,132.0,8.86,0.0%,0.0%,568.94
2013\K1\1X\02_03-2013_11_14-10_01-K1-1X.jpeg,OK,Clean image,2288,1712,138.9,132.5,131.4,9.35,0.0%,0.0%,728.05
2013\K1\1X\02_03-2013_11_15-10_08-K1-1X.jpeg,OK,Clean image,2288,1712,158.6,130.9,110.2,32.32,0.0%,0.0%,527.74
2013\K1\1X\02_03-2013_11_17-10_06-K1-1X.jpeg,OK,Clean image,2288,1712,141.2,137.9,138.5,6.51,0.0%,0.0%,528.89
2013\K1\1X\02_03-2013_11_18-09_49-K1-1X.jpeg,OK,Clean image,2288,1712,159.1,131.4,109.9,32.79,0.0%,0.0%,626.89
2013\K1\1X\02_03-2013_11_19-10_04-K1-1X.jpeg,OK,Clean image,2288,1712,131.3,126.9,122.2,9.46,0.0%,0.0%,656.93
2013\K1\1X\02_03-2013_11_21-10_16-K1-1X.jpeg,OK,Clean image,2288,1712,137.4,129.7,123.1,11.02,0.0%,0.0%,796.89
2013\K1\1X\02_03-2013_11_22-10_15-K1-1X.jpeg,OK,Clean image,2288,1712,143.9,136.3,133.3,8.63,0.0%,0.0%,719.77
2013\K1\1X\02_03-2013_11_24-10_12-K1-1X.jpeg,OK,Clean image,2288,1712,156.8,132.7,122.4,22.95,0.0%,0.0%,721.42
2013\K1\1X\02_03-2013_11_25-10_08-K1-1X.jpeg,OK,Clean image,2288,1712,155.2,134.2,128.0,18.47,0.0%,0.0%,606.27
2013\K1\1X\02_03-2013_11_26-09_45-K1-1X.jpeg,OK,Clean image,2288,1712,159.7,133.3,122.9,24.59,0.0%,0.0%,293.07
2013\K1\1X\02_03-2013_11_27-09_58-K1-1X.jpeg,OK,Clean image,2288,1712,155.3,133.8,128.4,18.24,0.0%,0.0%,667.50
2013\K1\1X\02_03-2013_11_30-10_02-K1-1X.jpeg,OK,Clean image,2288,1712,127.6,130.1,127.2,6.73,0.0%,0.0%,558.98
2013\K1\1X\02_03-2013_12_02-09_55-K1-1X.jpeg,OK,Clean image,2288,1712,140.5,134.0,120.0,14.19,0.0%,0.0%,451.82
2013\K1\1X\02_03-2013_12_04-10_16-K1-1X.jpeg,OK,Clean image,2288,1712,154.2,134.7,111.9,28.29,0.0%,0.0%,560.19
2013\K1\1X\02_03-2013_12_05-09_45-K1-1X.jpeg,OK,Clean image,2288,1712,145.5,137.3,135.6,8.68,0.0%,0.0%,689.00
2013\K1\1X\02_03-2013_12_07-09_58-K1-1X.jpeg,OK,Clean image,2288,1712,145.5,136.4,136.3,9.50,0.0%,0.0%,465.27
2013\K1\1X\02_03-2013_12_08-09_52-K1-1X.jpeg,OK,Clean image,2288,1712,130.2,128.1,129.5,5.55,0.0%,0.0%,398.16
2013\K1\1X\02_03-2013_12_09-09_50-K1-1X.jpeg,OK,Clean image,2288,1712,129.5,128.0,129.8,5.74,0.0%,0.0%,388.63
2013\K1\1X\02_03-2013_12_11-10_16-K1-1X.jpeg,OK,Clean image,2288,1712,127.7,133.9,131.5,4.35,0.0%,0.0%,2304.99
2013\K1\1X\02_03-2013_12_12-10_12-K1-1X.jpeg,OK,Clean image,2288,1712,133.7,130.5,119.7,10.34,0.0%,0.0%,411.51
2013\K1\1X\02_03-2013_12_13-09_58-K1-1X.jpeg,OK,Clean image,2288,1712,151.4,135.3,117.8,22.51,0.0%,0.0%,444.30
2013\K1\1X\02_03-2013_12_14-11_35-K1-1X.jpeg,OK,Clean image,2288,1712,139.1,135.1,123.2,12.44,0.0%,0.0%,1087.66
2013\K1\1X\02_03-2013_12_15-10_10-K1-1X.jpeg,OK,Clean image,2288,1712,140.4,138.5,140.4,6.84,0.0%,0.0%,610.78
2013\K1\1X\02_03-2013_12_16-10_08-K1-1X.jpeg,OK,Clean image,2288,1712,141.7,140.0,142.1,6.57,0.0%,0.0%,555.23
2013\K1\1X\02_03-2013_12_17-10_06-K1-1X.jpeg,OK,Clean image,2288,1712,132.9,131.8,133.2,5.95,0.0%,0.0%,425.71
2013\K1\1X\02_03-2013_12_18-10_04-K1-1X.jpeg,OK,Clean image,2288,1712,131.4,129.4,130.2,5.16,0.0%,0.0%,432.79
2013\K1\1X\02_03-2013_12_19-10_59-K1-1X.jpeg,OK,Clean image,2288,1712,140.9,138.1,135.0,7.32,0.0%,0.0%,923.10
2013\K1\1X\02_03-2013_12_20-10_04-K1-1X.jpeg,OK,Clean image,2288,1712,131.5,130.4,131.8,5.66,0.0%,0.0%,376.22
2013\K1\1X\02_03-2013_12_23-09_52-K1-1X.jpeg,OK,Clean image,2288,1712,134.5,133.0,134.8,5.55,0.0%,0.0%,404.88
2013\K1\1X\02_03-2013_12_24-09_52-K1-1X.jpeg,OK,Clean image,2288,1712,138.6,136.3,139.6,5.95,0.0%,0.0%,431.63
2013\K1\1X\02_03-2013_12_25-10_50-K1-1X.jpeg,OK,Clean image,2288,1712,139.1,135.9,127.1,9.39,0.0%,0.0%,516.63
2013\K1\1X\02_03-2013_12_26-10_01-K1-1X.jpeg,OK,Clean image,2288,1712,142.9,136.3,117.9,17.54,0.0%,0.0%,497.64
2013\K1\1X\02_03-2013_12_28-11_02-K1-1X.jpeg,OK,Clean image,2288,1712,142.7,137.6,133.0,8.21,0.0%,0.0%,621.46
2013\K1\1X\02_03-2013_12_29-11_07-K1-1X.jpeg,OK,Clean image,2288,1712,136.3,135.5,137.6,6.92,0.0%,0.0%,548.18
2013\K1\1X\02_03-2013_12_30-09_52-K1-1X.jpeg,OK,Clean image,2288,1712,148.2,136.3,130.6,12.97,0.0%,0.0%,381.34
2013\K1\1X\02_03-2013_12_31-11_51-K1-1X.jpeg,OK,Clean image,2288,1712,143.1,135.2,108.2,24.34,0.0%,0.0%,586.23
2014\K1\10X\02_03-2014_01_02-11_05-K1-10X.jpeg,OK,Clean image,2288,1712,146.9,124.2,96.3,34.03,0.1%,0.0%,1102.72
2014\K1\10X\02_03-2014_01_03-10_14-K1-10X.jpeg,OK,Clean image,2288,1712,131.0,130.1,124.7,6.71,0.0%,0.0%,857.12
2014\K1\10X\02_03-2014_01_06-09_56-K1-10X.jpeg,OK,Clean image,2288,1712,125.3,123.1,125.8,6.58,0.0%,0.0%,716.88
2014\K1\10X\02_03-2014_01_07-09_51-K1-10X.jpeg,OK,Clean image,2288,1712,125.4,123.4,127.8,7.04,0.0%,0.0%,697.35
2014\K1\10X\02_03-2014_01_08-10_05-K1-10X.jpeg,OK,Clean image,2288,1712,123.9,121.5,125.8,7.43,0.0%,0.0%,795.90
2014\K1\10X\02_03-2014_01_09-09_50-K1-10X.jpeg,OK,Clean image,2288,1712,125.7,123.1,127.1,7.13,0.0%,0.0%,735.56
2014\K1\10X\02_03-2014_01_10-10_05-K1-10X.jpeg,OK,Clean image,2288,1712,138.7,135.8,139.8,8.07,0.1%,0.0%,986.89
2014\K1\10X\02_03-2014_01_11-10_04-K1-10X.jpeg,OK,Clean image,2288,1712,124.4,122.0,125.1,7.21,0.1%,0.0%,870.16
2014\K1\10X\02_03-2014_01_12-10_48-K1-10X.jpeg,OK,Clean image,2288,1712,121.0,118.5,118.7,8.89,0.1%,0.0%,1419.71
2014\K1\10X\02_03-2014_01_13-10_42-K1-10X.jpeg,OK,Clean image,2288,1712,125.5,114.7,113.8,11.60,0.0%,0.0%,1039.10
2014\K1\10X\02_03-2014_01_14-10_05-K1-10X.jpeg,OK,Clean image,2288,1712,124.4,120.5,109.6,12.32,0.0%,0.0%,1127.09
2014\K1\10X\02_03-2014_01_16-09_51-K1-10X.jpeg,OK,Clean image,2288,1712,124.7,121.5,118.0,7.33,0.0%,0.0%,621.68
2014\K1\10X\02_03-2014_01_17-09_58-K1-10X.jpeg,OK,Clean image,2288,1712,132.4,129.1,131.1,8.02,0.0%,0.0%,775.37
2014\K1\10X\02_03-2014_01_19-10_55-K1-10X.jpeg,OK,Clean image,2288,1712,122.1,121.0,103.4,15.65,0.0%,0.0%,965.82
2014\K1\10X\02_03-2014_01_21-09_56-K1-10X.jpeg,OK,Clean image,2288,1712,133.7,121.1,99.0,24.73,0.0%,0.0%,1169.68
2014\K1\10X\02_03-2014_01_22-10_01-K1-10X.jpeg,OK,Clean image,2288,1712,129.1,119.1,108.6,15.20,0.0%,0.0%,878.57
2014\K1\10X\02_03-2014_01_23-10_09-K1-10X.jpeg,OK,Clean image,2288,1712,126.2,125.6,128.2,7.89,0.0%,0.0%,665.23
2014\K1\10X\02_03-2014_01_24-10_01-K1-10X.jpeg,LOW_CONTRAST,Low color contrast (std dev: 14.9),2288,1712,127.1,124.0,125.6,5.38,0.0%,0.0%,349.82
2014\K1\10X\02_03-2014_01_25-10_08-K1-10X.jpeg,OK,Clean image,2288,1712,128.8,128.1,100.4,21.81,0.0%,0.0%,691.25
2014\K1\10X\02_03-2014_01_28-11_38-K1-10X.jpeg,OK,Clean image,2288,1712,127.0,130.8,102.6,22.04,0.1%,0.0%,1580.89
2014\K1\10X\02_03-2014_01_29-10_41-K1-10X.jpeg,OK,Clean image,2288,1712,128.9,121.5,101.0,21.52,0.0%,0.0%,887.12
2014\K1\10X\02_03-2014_01_30-10_21-K1-10X.jpeg,OK,Clean image,2288,1712,127.9,131.1,122.2,11.01,0.1%,0.0%,1250.88
2014\K1\10X\02_03-2014_01_31-09_59-K1-10X.jpeg,OK,Clean image,2288,1712,119.3,120.6,114.5,8.70,0.0%,0.0%,662.16
2014\K1\10X\02_03-2014_02_01-09_49-K1-10X.jpeg,OK,Clean image,2288,1712,123.9,124.7,124.0,8.42,0.0%,0.0%,583.53
2014\K1\10X\02_03-2014_02_07-11_06-K1-10X.jpeg,OK,Clean image,2288,1712,117.7,127.7,88.5,27.65,0.0%,0.0%,227.21
2014\K1\10X\02_03-2014_02_11-10_16-K1-10X.jpeg,OK,Clean image,2288,1712,110.1,118.5,96.2,16.05,0.0%,0.0%,1139.70
2014\K1\10X\02_03-2014_02_12-10_34-K1-10X.jpeg,OK,Clean image,2288,1712,116.9,126.8,84.7,29.60,0.1%,0.0%,1921.37
2014\K1\10X\02_03-2014_02_13-10_13-K1-10X.jpeg,OK,Clean image,2288,1712,102.9,116.8,85.3,21.54,0.0%,0.0%,1223.97
2014\K1\10X\02_03-2014_02_14-10_11-K1-10X.jpeg,OK,Clean image,2288,1712,103.5,119.0,86.5,22.07,0.0%,0.0%,1112.46
2014\K1\10X\02_03-2014_02_15-10_09-K1-10X.jpeg,OK,Clean image,2288,1712,125.3,133.2,94.7,29.07,0.0%,0.0%,967.96
2014\K1\10X\02_03-2014_02_17-09_52-K1-10X.jpeg,OK,Clean image,2288,1712,112.6,121.6,97.2,17.54,0.0%,0.0%,1221.61
2014\K1\10X\02_03-2014_02_18-10_02-K1-10X.jpeg,OK,Clean image,2288,1712,102.8,119.6,83.4,24.66,0.0%,0.0%,1337.39
2014\K1\10X\02_03-2014_02_19-09_45-K1-10X.jpeg,OK,Clean image,2288,1712,105.3,120.9,85.0,24.31,0.0%,0.0%,804.69
2014\K1\10X\02_03-2014_02_20-10_09-K1-10X.jpeg,OK,Clean image,2288,1712,120.3,135.3,86.3,33.77,0.1%,0.0%,1724.20
2014\K1\10X\02_03-2014_02_21-09_57-K1-10X.jpeg,OK,Clean image,2288,1712,113.0,134.7,94.5,27.32,0.1%,0.0%,1414.55
2014\K1\10X\02_03-2014_02_23-09_59-K1-10X.jpeg,OK,Clean image,2288,1712,111.1,136.0,92.8,29.26,0.0%,0.0%,668.83
2014\K1\10X\02_03-2014_02_24-09_45-K1-10X.jpeg,OK,Clean image,2288,1712,112.4,129.2,82.4,31.98,0.0%,0.0%,692.95
2014\K1\10X\02_03-2014_02_25-11_03-K1-10X.jpeg,OK,Clean image,2288,1712,119.9,123.2,119.3,9.03,0.0%,0.0%,99.68
2014\K1\10X\02_03-2014_02_26-10_08-K1-10X.jpeg,OK,Clean image,2288,1712,120.4,138.7,102.4,25.40,0.0%,0.0%,505.02
2014\K1\10X\02_03-2014_02_27-10_33-K1-10X.jpeg,OK,Clean image,2288,1712,117.8,136.5,90.2,32.20,0.0%,0.0%,586.27
2014\K1\10X\02_03-2014_02_28-10_02-K1-10X.jpeg,OK,Clean image,2288,1712,109.2,131.7,92.9,26.14,0.0%,0.0%,830.12
2014\K1\10X\02_03-2014_03_01-10_17-K1-10X.jpeg,OK,Clean image,2288,1712,130.4,144.2,82.9,42.35,0.0%,0.0%,530.75
2014\K1\10X\02_03-2014_03_03-10_02-K1-10X.jpeg,OK,Clean image,2288,1712,124.5,137.9,74.3,43.12,0.0%,0.0%,455.72
2014\K1\10X\02_03-2014_03_04-10_48-K1-10X.jpeg,OK,Clean image,2288,1712,127.3,149.0,81.2,45.75,0.0%,0.0%,622.32
2014\K1\10X\02_03-2014_03_05-09_46-K1-10X.jpeg,OK,Clean image,2288,1712,116.6,139.7,100.0,26.63,0.0%,0.0%,684.05
2014\K1\10X\02_03-2014_03_06-10_13-K1-10X.jpeg,OK,Clean image,2288,1712,112.2,135.0,82.2,35.48,0.0%,0.0%,296.00
2014\K1\10X\02_03-2014_03_07-09_55-K1-10X.jpeg,OK,Clean image,2288,1712,113.2,137.9,71.1,44.61,0.0%,0.0%,697.03
2014\K1\10X\02_03-2014_03_10-09_56-K1-10X.jpeg,BORDERLINE_BLUR,Borderline blurry (Laplacian var: 66.24),2288,1712,105.0,143.4,101.7,28.87,0.0%,0.0%,66.24
2014\K1\10X\02_03-2014_03_11-10_38-K1-10X.jpeg,OK,Clean image,2288,1712,98.7,140.0,70.0,47.07,0.0%,0.0%,595.62
2014\K1\10X\02_03-2014_03_12-10_01-K1-10X.jpeg,OK,Clean image,2288,1712,94.4,130.2,52.3,52.02,0.0%,0.0%,997.22
2014\K1\10X\02_03-2014_03_14-10_30-K1-10X.jpeg,OK,Clean image,2288,1712,98.1,138.9,65.1,49.54,0.0%,0.0%,547.18
2014\K1\10X\02_03-2014_03_15-10_00-K1-10X.jpeg,OK,Clean image,2288,1712,101.8,144.0,50.7,62.21,0.0%,0.3%,1631.88
2014\K1\10X\02_03-2014_03_23-09_58-K1-10X.jpeg,OK,Clean image,2288,1712,101.7,149.8,49.6,66.84,0.0%,0.4%,1702.36
2014\K1\10X\02_03-2014_03_24-10_02-K1-10X.jpeg,OK,Clean image,2288,1712,98.6,142.0,50.6,60.90,0.0%,0.1%,1188.11
2014\K1\10X\02_03-2014_03_26-10_07-K1-10X.jpeg,OK,Clean image,2288,1712,100.5,144.8,54.6,60.22,0.0%,0.0%,814.21
2014\K1\10X\02_03-2014_03_29-09_53-K1-10X.jpeg,OK,Clean image,2288,1712,93.2,134.3,57.7,51.18,0.0%,0.0%,431.88
2014\K1\10X\02_03-2014_03_31-11_08-K1-10X.jpeg,OK,Clean image,2288,1712,97.7,131.7,81.0,33.99,0.5%,0.0%,2126.48
2014\K1\10X\02_03-2014_04_01-10_00-K1-10X.jpeg,OK,Clean image,2288,1712,104.7,134.4,79.4,36.73,0.4%,0.0%,1834.15
2014\K1\10X\02_03-2014_04_08-09_46-K1-10X.jpeg,OK,Clean image,2288,1712,108.9,136.0,73.9,41.37,0.1%,0.0%,841.20
2014\K1\10X\02_03-2014_04_10-10_02-K1-10X.jpeg,OK,Clean image,2288,1712,111.0,140.6,88.1,35.07,0.0%,0.0%,574.77
2014\K1\10X\02_03-2014_04_11-10_03-K1-10X.jpeg,OK,Clean image,2288,1712,109.3,141.5,77.3,42.86,0.2%,0.0%,1385.49
2014\K1\10X\02_03-2014_04_12-09_52-K1-10X.jpeg,OK,Clean image,2288,1712,109.0,134.2,73.7,40.41,0.0%,0.0%,592.82
2014\K1\10X\02_03-2014_04_13-09_53-K1-10X.jpeg,OK,Clean image,2288,1712,111.5,138.8,73.4,43.71,0.0%,0.0%,430.27
2014\K1\10X\02_03-2014_04_17-10_00-K1-10X.jpeg,OK,Clean image,2288,1712,115.3,140.6,64.5,50.81,0.0%,0.0%,365.30
2014\K1\10X\02_03-2014_04_20-10_00-K1-10X.jpeg,OK,Clean image,2288,1712,117.7,148.9,66.2,55.19,0.0%,0.0%,359.77
2014\K1\10X\02_03-2014_04_21-10_00-K1-10X.jpeg,OK,Clean image,2288,1712,118.6,145.9,68.2,51.86,0.0%,0.0%,307.21
2014\K1\10X\02_03-2014_04_22-10_00-K1-10X.jpeg,OK,Clean image,2288,1712,112.9,145.9,65.2,53.82,0.0%,0.0%,643.00
2014\K1\10X\02_03-2014_04_23-10_00-K1-10X.jpeg,OK,Clean image,2288,1712,111.5,144.0,63.4,53.70,0.0%,0.0%,477.86
2014\K1\10X\02_03-2014_04_24-10_00-K1-10X.jpeg,OK,Clean image,2288,1712,113.1,139.3,64.3,50.03,0.0%,0.0%,446.57
2014\K1\10X\02_03-2014_04_25-10_00-K1-10X.jpeg,OK,Clean image,2288,1712,120.0,144.4,66.7,51.81,0.0%,0.0%,409.85
2014\K1\10X\02_03-2014_04_27-10_00-K1-10X.jpeg,OK,Clean image,2288,1712,113.7,138.3,66.6,47.77,0.0%,0.0%,489.60
2014\K1\10X\02_03-2014_04_28-10_57-K1-10X.jpeg,OK,Clean image,2288,1712,111.5,132.2,60.0,48.20,0.0%,0.0%,461.79
2014\K1\10X\02_03-2014_04_29-10_00-K1-10X.jpeg,OK,Clean image,2288,1712,116.5,134.0,67.9,44.14,0.0%,0.0%,273.44
2014\K1\10X\02_03-2014_04_30-10_59-K1-10X.jpeg,OK,Clean image,2288,1712,121.3,137.8,70.5,44.92,0.0%,0.0%,418.82
2014\K1\10X\02_03-2014_05_01-11_01-K1-10X.jpeg,OK,Clean image,2288,1712,110.1,122.3,60.2,41.49,0.0%,0.0%,495.37
2014\K1\10X\02_03-2014_05_02-11_02-K1-10X.jpeg,OK,Clean image,2288,1712,124.9,135.4,73.3,41.54,0.0%,0.0%,614.63
2014\K1\10X\02_03-2014_05_04-09_30-K1-10X.jpeg,OK,Clean image,2288,1712,123.2,128.6,70.5,39.36,0.0%,0.0%,516.58
2014\K1\10X\02_03-2014_05_05-10_00-K1-10X.jpeg,OK,Clean image,2288,1712,126.2,127.3,71.0,39.07,0.0%,0.0%,537.51
2014\K1\10X\02_03-2014_05_06-11_00-K1-10X.jpeg,OK,Clean image,2288,1712,141.2,138.3,78.7,42.73,0.0%,0.0%,352.28
2014\K1\10X\02_03-2014_05_07-11_00-K1-10X.jpeg,OK,Clean image,2288,1712,140.9,136.4,85.1,38.07,0.0%,0.0%,564.09
2014\K1\10X\02_03-2014_05_08-10_30-K1-10X.jpeg,OK,Clean image,2288,1712,132.8,126.4,75.5,38.62,0.0%,0.0%,295.06
2014\K1\10X\02_03-2014_05_09-09_00-K1-10X.jpeg,OK,Clean image,2288,1712,133.4,122.1,71.2,41.54,0.0%,0.0%,234.73
2014\K1\10X\02_03-2014_05_10-11_01-K1-10X.jpeg,OK,Clean image,2288,1712,148.4,134.0,89.3,39.47,0.0%,0.0%,495.58
2014\K1\10X\02_03-2014_05_11-11_01-K1-10X.jpeg,OK,Clean image,2288,1712,149.5,133.8,88.8,40.47,0.0%,0.0%,476.97
2014\K1\10X\02_03-2014_05_12-10_00-K1-10X.jpeg,OK,Clean image,2288,1712,139.5,122.6,77.3,41.51,0.0%,0.0%,249.45
2014\K1\10X\02_03-2014_05_13-10_00-K1-10X.jpeg,OK,Clean image,2288,1712,147.5,127.1,76.3,47.50,0.0%,0.0%,225.73
2014\K1\10X\02_03-2014_05_14-11_03-K1-10X.jpeg,OK,Clean image,2288,1712,147.3,127.5,86.5,40.51,0.0%,0.0%,307.10
2014\K1\10X\02_03-2014_05_15-10_00-K1-10X.jpeg,OK,Clean image,2288,1712,122.9,124.0,127.8,5.73,0.0%,0.0%,621.94
2014\K1\10X\02_03-2014_05_16-10_00-K1-10X.jpeg,OK,Clean image,2288,1712,122.9,123.3,126.4,5.31,0.0%,0.0%,548.88
2014\K1\10X\02_03-2014_05_17-08_30-K1-10X.jpeg,OK,Clean image,2288,1712,124.8,124.2,123.2,4.90,0.0%,0.0%,612.27
2014\K1\10X\02_03-2014_05_18-08_30-K1-10X.jpeg,OK,Clean image,2288,1712,126.9,124.4,122.5,5.54,0.0%,0.0%,647.34
2014\K1\10X\02_03-2014_05_19-08_30-K1-10X.jpeg,OK,Clean image,2288,1712,122.0,123.2,127.5,6.20,0.0%,0.0%,650.26
2014\K1\10X\02_03-2014_05_20-11_00-K1-10X.jpeg,OK,Clean image,2288,1712,140.7,128.4,101.6,26.16,0.0%,0.0%,685.09
2014\K1\10X\02_03-2014_05_21-10_12-K1-10X.jpeg,OK,Clean image,2288,1712,123.2,120.8,113.8,7.78,0.0%,0.0%,560.57
2014\K1\10X\02_03-2014_05_22-10_00-K1-10X.jpeg,OK,Clean image,2288,1712,142.0,121.1,80.4,41.02,0.0%,0.0%,379.65
2014\K1\10X\02_03-2014_05_23-10_00-K1-10X.jpeg,OK,Clean image,2288,1712,125.1,125.2,130.8,7.11,0.0%,0.0%,604.01
2014\K1\10X\02_03-2014_05_24-09_00-K1-10X.jpeg,OK,Clean image,2288,1712,157.3,131.3,81.4,50.54,0.0%,0.0%,554.95
2014\K1\10X\02_03-2014_05_25-10_00-K1-10X.jpeg,OK,Clean image,2288,1712,135.6,127.7,115.0,14.20,0.0%,0.0%,878.93
2014\K1\10X\02_03-2014_05_26-11_14-K1-10X.jpeg,OK,Clean image,2288,1712,137.5,130.8,121.4,11.51,0.0%,0.0%,845.06
2014\K1\10X\02_03-2014_05_27-11_30-K1-10X.jpeg,OK,Clean image,2288,1712,128.5,127.4,123.9,6.34,0.0%,0.0%,763.92
